strategy,horizon,threshold,breadth,direction,top_n,W1_trades,W1_net,W1_mean,W2_trades,W2_net,W2_mean,W3_trades,W3_net,W3_mean,pre_trades,pre_net,pre_mean,pre_median,pre_wr,pre_windows,pre_positive_windows,pre_without_best_day,pre_without_best_ticker,fwd_trades,fwd_net,fwd_mean,fwd_median,fwd_wr,fwd_days,fwd_positive_days,fwd_without_best_day,fwd_without_best_ticker
MR,60,1.3,NO_BROAD_070,LONG,999,97,-2645.7128684952536,-27.275390396858285,56,1228.9409495159061,21.945374098498323,75,457.72890097119466,6.103052012949262,228,-959.0430180081528,-4.206329026351547,-4.172919194891437,46.49122807017544,3,2,-1673.337924534988,-1276.152760277795,26,-318.94618923158436,-12.267161124291706,-20.978787160711512,34.61538461538461,4,0,-284.2707920341248,-396.23099299925263
MR,60,1.3,NO_BROAD_070,LONG,3,97,-2645.7128684952536,-27.275390396858285,56,1228.9409495159061,21.945374098498323,75,457.7289009711947,6.103052012949263,228,-959.0430180081528,-4.206329026351547,-4.172919194891437,46.49122807017544,3,2,-1673.3379245349881,-1276.152760277795,26,-318.9461892315843,-12.267161124291704,-20.978787160711512,34.61538461538461,4,0,-284.2707920341247,-396.2309929992526
MR,60,1.3,ALL,LONG,1,234,-8228.317502685217,-35.16375001147529,228,-1741.3016247709213,-7.637287827942638,231,654.004818811121,2.8311896918230346,693,-9315.614308645016,-13.442444889819647,-10.941975505738377,42.13564213564214,3,1,-10159.000752809485,-9508.754808610936,92,-899.0426596360579,-9.772202822131064,-5.125603350026783,44.565217391304344,4,1,-944.6394715162046,-999.6200121354414
MR,60,1.3,NO_BROAD_070,LONG,1,87,-2678.1056608064296,-30.782823687430223,53,918.1807127430709,17.324164391378694,73,375.1331810237979,5.138810698956135,213,-1384.7917670395598,-6.501369798307793,-4.097806267267291,46.478873239436616,3,2,-1882.5835251549831,-1645.9313711825903,26,-318.9461892315844,-12.267161124291707,-20.978787160711512,34.61538461538461,4,0,-284.27079203412484,-396.2309929992527
MOMENTUM,60,1.75,NO_BROAD_070,LONG,1,36,-1079.8885514415101,-29.996904206708614,20,-1151.5625403630465,-57.57812701815233,25,169.95590798151807,6.798236319260723,81,-2061.4951838230386,-25.450557824975785,-32.93540493691703,30.864197530864196,3,1,-2491.723340727721,-2523.5351641928823,13,-422.5830571780265,-32.506389013694346,-34.35500480818421,30.76923076923077,4,1,-473.1097393505583,-446.4562106305817
MOMENTUM,60,1.75,NO_BROAD_070,LONG,999,38,-1184.341413589928,-31.166879304998105,21,-1277.9596850575567,-60.85522309797889,25,169.95590798151812,6.798236319260725,84,-2292.3451906659666,-27.289823698404366,-33.86069188508951,30.952380952380953,3,1,-2722.573347570649,-2754.3851710358103,14,-442.50795318194724,-31.60771094156766,-30.336872950516774,28.57142857142857,4,1,-493.03463535447906,-466.38110663450254
MOMENTUM,60,1.75,NO_BROAD_070,LONG,3,38,-1184.3414135899284,-31.166879304998115,21,-1277.9596850575565,-60.85522309797888,25,169.95590798151807,6.798236319260723,84,-2292.345190665967,-27.28982369840437,-33.86069188508951,30.952380952380953,3,1,-2722.5733475706493,-2754.385171035811,14,-442.5079531819472,-31.607710941567657,-30.336872950516774,28.57142857142857,4,1,-493.034635354479,-466.38110663450243
MR,60,2.0,ALL,LONG,1,113,-5186.4923304816675,-45.898162216651926,111,-758.2522184327519,-6.831101066961729,110,445.0800149366907,4.046181953969915,334,-5499.664533977728,-16.466061478975234,-13.338488809432574,40.7185628742515,3,1,-6145.555275599895,-5923.607736026199,29,-572.0814456454913,-19.726946401568664,-19.796679059864143,34.48275862068966,4,0,-540.4822669425303,-623.4154710267101
MR,60,1.75,NO_BROAD_070,LONG,1,44,-743.2052528304276,-16.89102847341881,23,505.09755713626015,21.96076335375044,35,185.106462466877,5.2887560704822,102,-53.001233227290186,-0.5196199336008842,-3.83309140778538,46.07843137254902,3,2,-429.3446173409371,-233.89545902804392,4,-22.276840621958385,-5.569210155489596,7.747273860886519,75.0,4,3,-82.7568611424082,-93.97067906992908
MR,60,1.5,ALL,LONG,1,192,-6927.910712019452,-36.08286829176798,180,-1632.380187915866,-9.06877882175481,183,434.21658991818447,2.372768250919041,555,-8126.074310017135,-14.641575333364207,-13.296757441506461,40.54054054054054,3,1,-8787.899675374214,-8418.859894213088,62,-706.4384531091912,-11.394168598535341,-9.134018449116898,38.70967741935484,4,0,-645.0929638764604,-807.9987586143841
MR,60,1.3,NO_BROAD_060,LONG,3,51,-859.9568904504764,-16.86189981275444,22,562.5900651688158,25.57227568949163,41,170.81323735832714,4.166176520934808,114,-126.55358792333357,-1.1101191923099436,-2.686520096672913,45.614035087719294,3,2,-723.2876455381811,-467.6276212669075,12,-182.97288750812436,-15.24774062567703,-20.178477452885353,33.33333333333333,4,0,-174.52442275498333,-260.25769127579264
MR,60,1.3,NO_BROAD_060,LONG,999,51,-859.9568904504762,-16.861899812754434,22,562.5900651688158,25.57227568949163,41,170.81323735832711,4.166176520934807,114,-126.55358792333327,-1.110119192309941,-2.686520096672913,45.614035087719294,3,2,-723.2876455381809,-467.6276212669072,12,-182.97288750812442,-15.247740625677034,-20.178477452885353,33.33333333333333,4,0,-174.5244227549834,-260.2576912757927
MR,60,1.5,NO_BROAD_060,LONG,1,33,-615.2356974952475,-18.64350598470447,12,393.56909668648643,32.79742472387387,26,111.58308960949395,4.291657292672844,71,-110.08351119926695,-1.5504719887220697,-1.5818289676185842,45.07042253521127,3,2,-494.2172929319007,-257.47630991288077,7,-242.12210870090266,-34.588872671557525,-23.93605634128082,14.285714285714285,4,1,-246.4028384951548,-246.4028384951548
MR,60,1.75,NO_BROAD_070,LONG,999,45,-610.0532017282515,-13.556737816183366,23,505.0975571362602,21.960763353750444,35,132.69342892611124,3.7912408264603212,103,27.73778433411989,0.2692988770302902,-3.8749715898435184,45.63106796116505,3,2,-348.605599779527,-153.15644146663385,4,-22.276840621958385,-5.569210155489596,7.747273860886519,75.0,4,3,-82.7568611424082,-93.97067906992908
MR,60,1.75,NO_BROAD_070,LONG,3,45,-610.0532017282518,-13.556737816183373,23,505.09755713626015,21.96076335375044,35,132.69342892611118,3.7912408264603195,103,27.737784334120043,0.2692988770302917,-3.8749715898435184,45.63106796116505,3,2,-348.60559977952687,-153.15644146663368,4,-22.276840621958385,-5.569210155489596,7.747273860886519,75.0,4,3,-82.7568611424082,-93.97067906992908
MOMENTUM,60,2.0,ALL,LONG,1,84,-3688.5555630686868,-43.9113757508177,92,-2053.89331487995,-22.324927335651633,78,210.78306534105263,2.702346991551957,254,-5531.6658126075845,-21.77821186065978,-27.00336727055584,32.677165354330704,3,1,-6208.743224008108,-5917.514820696264,35,-545.552619005927,-15.587217685883628,-16.521226049979727,34.285714285714285,4,0,-456.32212178633563,-600.1547395832415
MR,60,2.0,NO_BROAD_070,LONG,3,28,-673.1445008313847,-24.04087502969231,12,462.03560409984743,38.50296700832062,25,81.27578513789919,3.2510314055159677,65,-129.83311159363797,-1.9974324860559687,-4.666583120387681,43.07692307692308,3,2,-506.17649570728486,-359.66701713943974,2,64.76075031470197,32.38037515735098,32.38037515735098,100.0,2,2,4.280729794252153,4.280729794252153
MR,60,2.0,NO_BROAD_070,LONG,999,28,-673.1445008313847,-24.04087502969231,12,462.03560409984743,38.50296700832062,25,81.27578513789922,3.2510314055159686,65,-129.83311159363788,-1.9974324860559673,-4.666583120387681,43.07692307692308,3,2,-506.17649570728474,-359.6670171394396,2,64.76075031470197,32.38037515735098,32.38037515735098,100.0,2,2,4.280729794252153,4.280729794252153
MR,60,2.0,NO_BROAD_070,LONG,1,28,-673.1445008313847,-24.04087502969231,12,462.03560409984743,38.50296700832062,25,81.27578513789919,3.2510314055159677,65,-129.83311159363797,-1.9974324860559687,-4.666583120387681,43.07692307692308,3,2,-506.17649570728486,-359.66701713943974,2,64.76075031470197,32.38037515735098,32.38037515735098,100.0,2,2,4.280729794252153,4.280729794252153
MOMENTUM,90,1.75,NO_BROAD_070,LONG,3,35,-798.2128454117284,-22.806081297477952,21,-1576.207850329468,-75.05751668235563,23,818.0916750236844,35.56920326189932,79,-1556.3290207175119,-19.70036735085458,-23.968856219378043,36.708860759493675,3,1,-2254.6618113276004,-2081.241178475088,12,-301.48277503097876,-25.123564585914895,-30.842194533231016,25.0,4,1,-396.43216124138195,-390.1721380454053
MOMENTUM,90,1.75,NO_BROAD_070,LONG,1,33,-592.4221017977922,-17.9521849029634,20,-1409.5236391513147,-70.47618195756573,23,818.0916750236844,35.56920326189932,76,-1183.8540659254222,-15.577027183229239,-21.68305288468646,38.15789473684211,3,1,-1882.1868565355107,-1708.7662236829983,11,-283.7614721101575,-25.796497464559774,-30.943164191724343,27.27272727272727,4,1,-378.7108583205607,-372.45083512458405
MOMENTUM,90,1.75,NO_BROAD_070,LONG,999,35,-798.2128454117284,-22.806081297477952,21,-1576.207850329468,-75.05751668235563,23,818.0916750236844,35.56920326189932,79,-1556.3290207175123,-19.700367350854588,-23.968856219378043,36.708860759493675,3,1,-2254.661811327601,-2081.2411784750884,12,-301.48277503097876,-25.123564585914895,-30.842194533231016,25.0,4,1,-396.43216124138195,-390.1721380454053
MOMENTUM,90,1.5,NO_BROAD_070,LONG,1,50,-1527.6556532798807,-30.553113065597614,40,-1082.8832218911014,-27.072080547277533,33,807.7603490041237,24.477586333458294,123,-1802.7785261668578,-14.656735985096404,-19.39724954999488,38.21138211382114,3,1,-2405.5027428074172,-2455.6772342249315,18,-192.86758634032202,-10.714865907795668,-17.90990248739297,38.88888888888889,4,1,-286.95849783269165,-287.27558057415274
MOMENTUM,90,1.5,NO_BROAD_070,LONG,3,56,-1979.0267660355557,-35.33976367920635,42,-1371.8210536172855,-32.6624060385068,34,640.1931610336246,18.82921061863602,132,-2710.654658619217,-20.5352625652971,-24.39736353679958,36.36363636363637,3,1,-3313.3788752597766,-3203.704134698361,20,-224.4590598863829,-11.222952994319146,-15.795736773030441,35.0,4,1,-318.5499713787525,-317.4361959232158
MOMENTUM,90,1.5,NO_BROAD_070,LONG,999,56,-1979.0267660355557,-35.33976367920635,42,-1371.8210536172855,-32.6624060385068,34,640.1931610336245,18.829210618636015,132,-2710.6546586192167,-20.535262565297096,-24.39736353679958,36.36363636363637,3,1,-3313.3788752597766,-3203.7041346983606,20,-224.45905988638287,-11.222952994319144,-15.795736773030441,35.0,4,1,-318.5499713787525,-317.4361959232158
MOMENTUM,90,1.5,NO_BROAD_060,LONG,1,30,-503.37227620543786,-16.779075873514596,17,-779.2115470407459,-45.835973355338,17,282.6018937959432,16.623640811526073,64,-999.9819294502406,-15.62471764766001,-17.90437403826453,37.5,3,1,-1413.0583857736078,-1335.1328100741275,8,-176.82277206689213,-22.102846508361516,-50.30819864810118,25.0,3,1,-195.9558608296187,-265.51213508131866
MR,90,2.0,ALL,LONG,3,120,-4631.957812285221,-38.59964843571017,120,61.46287494434495,0.5121906245362079,135,1117.0980493344812,8.274800365440601,375,-3453.396888006394,-9.20905836801705,-10.321689275818176,44.266666666666666,3,2,-4713.714438564925,-3879.175235296772,33,-681.9872532941902,-20.666280402854248,-5.199664086803683,36.36363636363637,4,0,-660.9310704029251,-752.6965717980246
MOMENTUM,90,1.3,NO_BROAD_070,LONG,1,63,-2260.495576895262,-35.880882172940666,55,-1375.2487936532996,-25.004523520969084,61,725.2180587161724,11.888820634691351,179,-2910.526311832389,-16.259923529789884,-19.073188243292822,39.10614525139665,3,1,-3541.060980522875,-3767.5026736030345,26,-221.3408862529744,-8.513111009729785,-15.671729661565763,34.61538461538461,4,1,-400.090734294312,-364.72861146163757
MR,90,1.3,NO_BROAD_070,LONG,3,91,-2942.7801151445824,-32.33824302356684,55,987.1133913004311,17.947516205462385,70,767.6218322836878,10.966026175481254,216,-1188.0448915604645,-5.500207831298447,-7.019847395515782,44.907407407407405,3,2,-1765.2145372808604,-1619.6949171188187,25,-182.26724576503088,-7.290689830601235,-13.716098404652229,40.0,4,1,-192.82611315320048,-290.07324047991733
MR,90,1.3,NO_BROAD_070,LONG,999,91,-2942.7801151445824,-32.33824302356684,55,987.1133913004311,17.947516205462385,70,767.6218322836878,10.966026175481254,216,-1188.0448915604634,-5.500207831298441,-7.019847395515782,44.907407407407405,3,2,-1765.2145372808593,-1619.6949171188176,25,-182.2672457650309,-7.290689830601236,-13.716098404652229,40.0,4,1,-192.8261131532005,-290.07324047991733
